機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako119a,アイアンギムレット,8,16,14,通常,,2,0,0,0,75,1,0,1,-999,-999,15,100,1,1,8,0,50,4000,100,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,200,-999,-999,-999,-999,8255,0,0,51136,0,0,14
Zako119a,アイアンギムレット,8,16,14,通常,,2,0,0,0,60,1,0,1,-999,-999,15,100,1,1,8,0,100,4000,100,200,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,-999,-999,-999,-999,-999,4159,0,0,1984,0,0,15
Zako119a,アイアンギムレット,8,16,14,通常,,2,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,50,0,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,200,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako119a,アイアンギムレット,8,16,14,通常,,3,0,0,0,180,1,0,1,-999,-999,14,100,1,1,8,0,200,0,100,-999,200,-999,-999,-999,-999,-999,75,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,10303,0,1,1984,0,0,0
Zako119a,アイアンギムレット,8,16,14,通常,,3,0,0,0,150,1,0,1,-999,-999,14,100,1,1,8,0,200,0,100,-999,300,-999,-999,-999,-999,-999,75,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,10303,0,1,1984,0,0,0
Zako119a,アイアンギムレット,8,16,14,通常,,3,0,0,0,90,1,0,1,-999,-999,14,100,1,1,8,0,200,0,100,-999,400,-999,-999,-999,-999,-999,75,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,10303,0,1,1984,0,0,0
Zako119a,アイアンギムレット,8,16,14,通常,,3,0,0,0,60,1,0,1,-999,-999,14,100,1,1,8,0,200,0,100,300,800,-999,-999,-999,-999,-999,75,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,10303,0,1,1984,0,0,0
Zako119a,アイアンギムレット,8,16,14,通常,,3,0,0,0,30,1,0,1,-999,-999,14,100,1,1,8,0,200,0,100,400,-999,-999,-999,-999,-999,-999,75,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,10303,0,1,1984,0,0,0
Zako119a,アイアンギムレット,8,16,14,通常,,3,0,0,0,180,1,0,1,-999,-999,14,100,1,1,8,0,200,0,100,-999,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,51263,0,1,10176,0,0,0
Zako119a,アイアンギムレット,8,16,14,通常,,3,0,0,0,180,1,0,1,-999,-999,14,100,1,1,8,0,0,1000,100,-999,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,10303,0,1,1984,0,0,1
Zako119a,アイアンギムレット,8,16,14,通常,,3,0,0,0,90,1,0,1,-999,-999,14,100,1,1,8,0,0,1000,100,-999,500,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,10303,0,1,1984,0,0,14
Zako119a,アイアンギムレット,8,16,14,通常,ラッシュ,3,0,0,0,90,1,0,1,-999,-999,14,100,2,2,8,0,200,0,100,0,300,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Zako119a,アイアンギムレット,8,16,14,通常,ロケットダイバー,3,0,0,0,90,1,0,1,-999,-999,14,100,2,2,8,0,100,0,100,300,-999,-100,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Zako119a,アイアンギムレット,8,16,14,通常,ジャンピングトー,3,0,0,0,90,1,0,1,-999,-999,14,100,2,2,8,5,100,0,100,100,300,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,4351,1,133056,0,0,0
Zako119a,アイアンギムレット,8,16,14,通常,マシンガン,3,0,0,0,90,1,0,1,-999,-999,14,100,2,2,8,0,50,0,100,300,600,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako119a,アイアンギムレット,8,16,14,通常,レールガン,3,0,0,0,90,1,0,1,-999,-999,14,100,2,2,8,6,50,0,100,600,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako119a,アイアンギムレット,8,16,14,通常,レールガン,2,0,0,0,0,0,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,63,0,2,1984,0,1,0
