機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Rain,アイギスガード,5,7,7,軽量版,白昼夢,1,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,100,0,100,500,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,400,-999,-999,-999,-999,8255,0,1,51136,0,0,0
Rain,アイギスガード,5,7,7,軽量版,白昼夢,2,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,200,0,100,600,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,500,-999,-999,-999,-999,8255,0,3,51136,0,0,0
Rain,アイギスガード,5,7,7,軽量版,白昼夢,2,0,0,0,150,1,0,1,-999,-999,15,100,1,1,8,0,200,0,100,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,-999,-999,-999,-999,-999,63,0,3,1984,0,0,0
Rain,アイギスガード,5,7,7,軽量版,白昼夢,2,0,0,0,150,1,0,1,-999,-999,15,100,1,1,8,0,500,0,100,500,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,800,-999,-999,-999,-999,-999,49215,0,3,10176,0,0,0
Rain,アイギスガード,5,7,7,軽量版,白昼夢,2,0,0,0,100,1,0,1,-999,-999,15,100,1,1,8,0,200,0,100,-999,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,700,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Rain,アイギスガード,5,7,7,軽量版,白昼夢,3,0,0,0,180,1,0,1,-999,-999,15,100,1,1,8,0,100,10000,100,0,200,-60,60,-999,45,-999,-999,-999,-999,-999,-999,100,300,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,1
Rain,アイギスガード,5,7,7,軽量版,白昼夢,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,200,-999,-60,60,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,6
Rain,アイギスガード,5,7,7,軽量版,白昼夢,3,0,0,0,150,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,0,-999,-60,60,-999,45,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,8
Rain,アイギスガード,5,7,7,軽量版,白昼夢,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,6
Rain,アイギスガード,5,7,7,軽量版,白昼夢,3,0,0,0,60,1,0,1,-999,-999,15,50,1,1,8,0,100,0,100,800,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,600,-999,-999,-999,-999,135231,255,0,1984,0,0,0
Rain,アイギスガード,5,7,7,軽量版,白昼夢,3,0,0,0,180,1,0,1,-999,-999,15,50,1,1,8,0,300,0,100,-999,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,600,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,0
Rain,アイギスガード,5,7,7,軽量版,白昼夢,3,0,0,0,110,1,0,1,-999,-999,15,25,1,1,8,0,300,0,100,-999,600,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,0
Rain,アイギスガード,5,7,7,軽量版,白昼夢,4,0,0,0,0,1,0,1,-999,-999,15,200,1,1,8,0,300,0,100,-999,-999,-100,200,-999,45,25,-999,-999,-999,-999,-999,100,-999,150,-999,-999,45,-999,139327,960,1,575424,63,0,0
Rain,アイギスガード,5,7,7,軽量版,トーキック,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,500,0,100,0,150,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
Rain,アイギスガード,5,7,7,軽量版,ランサー,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,100,0,100,0,200,10,150,-999,-999,-999,-999,-999,-999,-999,-999,40,-999,-999,-999,-999,-999,-999,8255,2303,1,133056,0,0,0
Rain,アイギスガード,5,7,7,軽量版,ランサー,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,500,0,100,0,200,10,150,-999,-999,-999,-999,-999,-999,-999,-999,40,-999,-999,-999,-999,-999,-999,8255,4351,1,133056,0,0,0
Rain,アイギスガード,5,7,7,軽量版,スナイパーライフル,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,100,0,100,800,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Rain,アイギスガード,5,7,7,軽量版,ホーミングミサイル,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,100,0,100,500,1000,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Rain,アイギスガード,5,7,7,軽量版,サンダーボルト,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,50,0,100,0,200,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Rain,アイギスガード,5,7,7,軽量版,サンダーボルト,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,0,10000,100,-999,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,12
Rain,アイギスガード,5,7,7,軽量版,リニアライフル,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,100,0,100,500,900,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Rain,アイギスガード,5,7,7,軽量版,手榴弾,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,200,0,100,300,700,-999,150,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,395200,0,0,0
Rain,アイギスガード,5,7,7,軽量版,手榴弾,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,500,0,100,200,400,0,200,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,4351,4,395200,0,0,0
Rain,アイギスガード,5,7,7,軽量版,スタンマイン,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,100,0,100,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,0,133056,0,0,0
