名,機体名,ND,SD,BD,AI種類,AI行為種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Rain,アイギスガード,5,7,7,通常,移動系,,1,0,0,0,0,1,0,1,無制限,無制限,15,100,1,1,8,0,100,0,100,500,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,無制限,400,無制限,無制限,無制限,無制限,8255,0,1,51136,0,0,0
Rain,アイギスガード,5,7,7,通常,移動系,,2,0,0,0,0,1,0,1,無制限,無制限,15,100,1,1,8,0,200,0,100,600,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,無制限,500,無制限,無制限,無制限,無制限,8255,0,3,51136,0,0,0
Rain,アイギスガード,5,7,7,通常,移動系,,2,0,0,0,150,1,0,1,無制限,無制限,15,100,1,1,8,0,200,0,100,300,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,無制限,無制限,無制限,無制限,無制限,無制限,63,0,3,1984,0,0,0
Rain,アイギスガード,5,7,7,通常,移動系,,2,0,0,0,150,1,0,1,無制限,無制限,15,100,1,1,8,0,500,0,100,500,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,800,無制限,無制限,無制限,無制限,無制限,49215,0,3,10176,0,0,0
Rain,アイギスガード,5,7,7,通常,移動系,,2,0,0,0,100,1,0,1,無制限,無制限,15,100,1,1,8,0,200,0,100,無制限,400,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,700,無制限,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,0
Rain,アイギスガード,5,7,7,通常,移動系,,3,0,0,0,180,1,0,1,無制限,無制限,15,100,1,1,8,5,100,10000,100,0,200,-60,60,無制限,45,無制限,無制限,無制限,無制限,無制限,無制限,100,300,無制限,無制限,無制限,無制限,無制限,131135,255,0,1984,0,0,1
Rain,アイギスガード,5,7,7,通常,移動系,,3,0,0,0,90,1,0,1,無制限,無制限,15,100,1,1,8,5,0,10000,100,200,無制限,-60,60,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,無制限,無制限,無制限,無制限,無制限,無制限,131135,255,0,1984,0,0,6
Rain,アイギスガード,5,7,7,通常,移動系,,3,0,0,0,150,1,0,1,無制限,無制限,15,100,1,1,8,5,0,10000,100,0,無制限,-60,60,無制限,45,無制限,無制限,無制限,無制限,無制限,無制限,300,無制限,無制限,無制限,無制限,無制限,無制限,65599,255,0,1984,0,0,8
Rain,アイギスガード,5,7,7,通常,移動系,,3,0,0,0,90,1,0,1,無制限,無制限,15,100,1,1,8,5,0,10000,100,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,50,無制限,無制限,無制限,無制限,無制限,無制限,65599,255,0,1984,0,0,6
Rain,アイギスガード,5,7,7,通常,移動系,,3,0,0,0,60,1,0,1,無制限,無制限,15,50,1,1,8,0,100,0,100,800,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,無制限,600,無制限,無制限,無制限,無制限,135231,255,0,1984,0,0,0
Rain,アイギスガード,5,7,7,通常,移動系,,3,0,0,0,180,1,0,1,無制限,無制限,15,50,1,1,8,0,300,0,100,無制限,300,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,600,無制限,無制限,無制限,無制限,無制限,131135,255,0,1984,0,0,0
Rain,アイギスガード,5,7,7,通常,移動系,,3,0,0,0,110,1,0,1,無制限,無制限,15,25,1,1,8,0,300,0,100,無制限,600,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,無制限,無制限,無制限,無制限,無制限,無制限,131135,255,0,1984,0,0,0
Rain,アイギスガード,5,7,7,通常,移動系,,4,0,0,0,0,1,0,1,無制限,無制限,15,200,1,1,8,0,300,0,100,無制限,無制限,-100,200,無制限,45,25,無制限,無制限,無制限,無制限,無制限,100,無制限,150,無制限,無制限,45,無制限,139327,960,1,575424,63,0,0
Rain,アイギスガード,5,7,7,通常,攻撃系,トーキック,,,,,,,,,,,,,2,2,8,0,500,0,100,0,150,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Rain,アイギスガード,5,7,7,通常,攻撃系,ジャンピングニー,,,,,,,,,,,,,2,2,8,0,300,0,100,0,150,-30,100,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Rain,アイギスガード,5,7,7,通常,攻撃系,シールドバッシュ,,,,,,,,,,,,,2,2,8,5,200,0,100,0,200,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Rain,アイギスガード,5,7,7,通常,攻撃系,ランサー,,,,,,,,,,,,,2,2,8,0,100,0,100,0,200,10,150,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,40,無制限,無制限,無制限,無制限,無制限,無制限,8255,2303,1,133056,0,0,0
Rain,アイギスガード,5,7,7,通常,攻撃系,ランサー,,,,,,,,,,,,,2,2,8,0,500,0,100,0,200,10,150,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,40,無制限,無制限,無制限,無制限,無制限,無制限,8255,4351,1,133056,0,0,0
Rain,アイギスガード,5,7,7,通常,攻撃系,チャージ,,,,,,,,,,,,,2,2,8,5,100,0,100,0,200,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,1023,1,133056,0,0,0
Rain,アイギスガード,5,7,7,通常,攻撃系,チャージ,,,,,,,,,,,,,2,2,8,5,25,0,100,0,500,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,1023,1,133056,0,0,0
Rain,アイギスガード,5,7,7,通常,攻撃系,ハンドガン,,,,,,,,,,,,,2,2,8,0,100,0,100,300,600,-30,30,無制限,無制限,50,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,4,133056,0,0,0
Rain,アイギスガード,5,7,7,通常,攻撃系,スナイパーライフル,,,,,,,,,,,,,2,2,8,5,100,0,100,800,無制限,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,4,133056,0,0,0
Rain,アイギスガード,5,7,7,通常,攻撃系,ホーミングレーザー,,,,,,,,,,,,,2,2,8,5,100,0,100,200,400,-30,30,無制限,無制限,無制限,50,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,4,133056,0,0,0
Rain,アイギスガード,5,7,7,通常,攻撃系,ホーミングミサイル,,,,,,,,,,,,,2,2,8,0,100,0,100,500,1000,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,4,133056,0,0,0
