名,機体名,ND,SD,BD,AI種類,AI行為種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako002b,エクエス,7,14,12,通常,移動系,,2,0,0,0,150,1,0,1,無制限,無制限,15,100,1,1,8,0,800,0,100,無制限,500,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,30,500,無制限,無制限,無制限,無制限,無制限,8255,0,0,51136,0,0,0
Zako002b,エクエス,7,14,12,通常,移動系,,2,0,0,0,90,1,0,1,無制限,無制限,15,100,1,1,8,0,400,0,100,500,1000,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,60,無制限,無制限,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,0
Zako002b,エクエス,7,14,12,通常,移動系,,1,0,0,0,0,1,0,2,5,50,15,100,1,1,8,0,10000,0,100,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,50,無制限,無制限,無制限,無制限,無制限,無制限,139327,4096,0,1984,0,0,0
Zako002b,エクエス,7,14,12,通常,移動系,,3,0,0,0,90,1,0,1,無制限,無制限,15,100,1,1,8,0,300,0,100,無制限,600,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,15,無制限,無制限,無制限,無制限,無制限,無制限,49215,0,0,10176,0,0,0
Zako002b,エクエス,7,14,12,通常,移動系,,2,0,0,0,0,1,0,1,無制限,無制限,15,100,1,1,8,0,2000,0,100,1000,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,無制限,500,無制限,無制限,無制限,無制限,8255,0,0,51136,0,0,0
Zako002b,エクエス,7,14,12,通常,移動系,,2,0,0,0,30,1,0,1,無制限,無制限,15,100,1,1,8,0,1000,0,100,500,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,無制限,300,無制限,無制限,無制限,無制限,8255,0,0,51136,0,0,0
Zako002b,エクエス,7,14,12,通常,攻撃系,シザースタンプ,,,,,,,,,,,,,2,2,8,0,5,0,100,0,150,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,133056,0,0,0
Zako002b,エクエス,7,14,12,通常,攻撃系,ジャンピングスタンプ,,,,,,,,,,,,,2,2,8,0,20,300,100,200,500,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,133056,0,0,15
Zako002b,エクエス,7,14,12,通常,攻撃系,ジャンピングスタンプ,,,,,,,,,,,,,2,2,8,0,60,0,100,50,200,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,12351,255,1,133056,0,0,0
Zako002b,エクエス,7,14,12,通常,攻撃系,シザーストレート,,,,,,,,,,,,,2,2,8,0,30,0,100,0,300,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Zako002b,エクエス,7,14,12,通常,攻撃系,サマーソルト,,,,,,,,,,,,,2,2,8,0,30,0,100,0,200,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Zako002b,エクエス,7,14,12,通常,攻撃系,連装ロケット砲,,,,,,,,,,,,,2,2,8,0,160,0,100,400,800,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,4,444352,0,0,0
Zako002b,エクエス,7,14,12,通常,攻撃系,マシンガン,,,,,,,,,,,,,2,2,8,0,140,0,100,無制限,500,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,500,無制限,無制限,無制限,無制限,無制限,8255,255,4,133056,0,0,0
Zako002b,エクエス,7,14,12,通常,攻撃系,モーニングスター,,,,,,,,,,,,,2,2,8,0,200,0,100,300,800,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,4,133056,0,0,0
Zako002b,エクエス,7,14,12,通常,移動系,,2,0,0,0,0,0,0,1,無制限,無制限,15,100,1,1,8,0,1000,0,100,0,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,300,無制限,無制限,無制限,無制限,無制限,無制限,63,0,2,1984,0,1,0
