機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Masa,カゲロウ・鎧,6,8,9,学園時代,ミサイルシャワー,1,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,100,0,100,800,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,400,-999,-999,-999,-999,8255,0,0,51136,65536,0,0
Masa,カゲロウ・鎧,6,8,9,学園時代,ミサイルシャワー,2,0,0,0,30,0,0,1,-999,-999,15,100,1,1,8,0,200,0,100,400,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,300,-999,-999,-999,-999,8255,0,0,51136,0,0,0
Masa,カゲロウ・鎧,6,8,9,学園時代,ミサイルシャワー,2,0,0,0,0,0,0,1,-999,-999,15,100,1,1,8,0,500,0,100,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,500,-999,-999,-999,-999,8255,0,0,51136,0,0,0
Masa,カゲロウ・鎧,6,8,9,学園時代,ミサイルシャワー,2,0,0,0,130,1,0,1,-999,-999,15,100,1,1,8,0,2000,0,100,-999,750,-999,-999,-999,-999,-999,20,-999,-999,-999,-999,300,1200,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Masa,カゲロウ・鎧,6,8,9,学園時代,ミサイルシャワー,2,0,0,0,90,0,0,1,-999,-999,15,100,1,1,8,0,200,0,100,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,60,-999,200,-999,-999,-999,-999,8255,0,0,51136,0,0,0
Masa,カゲロウ・鎧,6,8,9,学園時代,ミサイルシャワー,2,0,0,0,150,1,0,1,-999,-999,15,100,1,1,8,0,200,0,100,-999,150,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,400,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Masa,カゲロウ・鎧,6,8,9,学園時代,ミサイルシャワー,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,5,50,10000,100,200,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,65599,0,0,1984,0,0,7
Masa,カゲロウ・鎧,6,8,9,学園時代,ミサイルシャワー,4,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,9,100,0,100,0,300,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,100,-999,-999,45,-999,8255,0,1,51136,0,0,0
Masa,カゲロウ・鎧,6,8,9,学園時代,ミサイルシャワー,2,0,0,0,80,1,0,1,-999,-999,15,100,1,1,8,0,200,0,100,-999,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,800,-999,-999,-999,-999,-999,49215,0,0,10176,0,0,0
Masa,カゲロウ・鎧,6,8,9,学園時代,ミサイルシャワー,3,0,0,0,180,1,0,1,-999,-999,15,100,1,1,8,5,200,10000,100,-999,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,49215,0,0,10176,0,0,0
Masa,カゲロウ・鎧,6,8,9,学園時代,ボディブロー,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,1000,0,100,0,100,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
Masa,カゲロウ・鎧,6,8,9,学園時代,アームストレート,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,700,0,100,0,150,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
Masa,カゲロウ・鎧,6,8,9,学園時代,アームアッパー,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,6,500,0,100,0,100,-30,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
