機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,1,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,100,0,100,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,300,-999,-999,-999,-999,8255,0,0,51136,65536,0,0
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,2,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,500,0,100,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,50,-999,-999,-999,-999,8255,0,0,51136,0,0,0
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,2,0,0,0,80,1,0,1,-999,-999,15,100,1,1,8,0,200,0,100,200,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,150,-999,-999,-999,-999,63,0,0,1984,0,0,0
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,2,0,0,0,60,1,0,1,-999,-999,15,100,1,1,8,0,400,0,100,250,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,-999,-999,-999,-999,-999,4159,0,0,1984,0,0,0
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,50,10000,100,200,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,7
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,4,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,300,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,150,-999,-999,45,-999,8255,0,1,51136,0,0,0
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,2,0,0,0,80,1,0,1,-999,-999,15,100,1,1,8,0,200,0,100,-999,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,800,-999,-999,-999,-999,49215,0,0,10176,0,0,0
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,3,0,0,0,180,1,0,1,-999,-999,15,100,1,1,8,0,500,10000,100,-999,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,49215,0,0,10176,0,0,0
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,200,-999,-60,60,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,6
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,3,0,0,0,150,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,0,-999,-60,60,-999,45,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,8
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,6
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,3,0,0,0,60,1,0,1,-999,-999,15,50,1,1,8,0,100,0,100,800,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,600,-999,-999,-999,-999,135231,255,0,1984,0,0,0
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,3,0,0,0,180,1,0,1,-999,-999,15,50,1,1,8,0,300,0,100,-999,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,600,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,0
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,グスタフキャノン,3,0,0,0,110,1,0,1,-999,-999,15,25,1,1,8,0,300,0,100,-999,600,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,0
Chinatsu2,クリムゾンロータス,5,11,9,軽量版,レッグブロウ,3,0,0,0,110,1,0,1,-999,-999,15,25,2,2,8,0,1000,0,100,0,150,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
