機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako003b,クロノス,7,12,12,通常,,1,0,0,0,0,1,0,1,-999,-999,15,25,1,1,8,0,300,0,100,600,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,500,-999,-999,-999,-999,8255,0,0,51136,0,0,0
Zako003b,クロノス,7,12,12,通常,,2,0,0,0,90,1,0,1,-999,-999,15,0,1,1,8,0,400,0,100,150,600,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,60,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako003b,クロノス,7,12,12,通常,,2,0,0,0,160,1,0,1,-999,-999,15,0,1,1,8,0,500,0,100,150,600,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,60,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako003b,クロノス,7,12,12,通常,,0,0,0,0,90,1,0,1,-999,-999,15,0,1,1,8,0,300,0,100,150,600,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,60,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako003b,クロノス,7,12,12,通常,,2,0,0,0,0,1,0,2,7,50,15,0,1,1,8,0,200,0,100,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,2111,0,0,1984,0,0,0
Zako003b,クロノス,7,12,12,通常,,2,0,0,0,0,1,0,2,7,50,15,0,1,1,8,0,800,0,100,300,-999,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,2111,4096,0,1984,0,0,0
Zako003b,クロノス,7,12,12,通常,,2,0,0,0,0,1,0,4,0,50,15,0,1,1,8,0,1000,0,100,300,-999,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,2111,4096,0,1984,0,0,0
Zako003b,クロノス,7,12,12,通常,,2,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,63,255,0,1984,0,0,6
Zako003b,クロノス,7,12,12,通常,,2,0,0,0,180,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,0,200,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,50,300,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,1
Zako003b,クロノス,7,12,12,通常,,2,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,0,200,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,6
Zako003b,クロノス,7,12,12,通常,,2,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,200,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,6
Zako003b,クロノス,7,12,12,通常,,2,0,0,0,150,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,0,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,8
Zako003b,クロノス,7,12,12,通常,,2,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,6
Zako003b,クロノス,7,12,12,通常,,2,0,0,0,0,1,0,1,-999,-999,15,0,1,1,8,0,100,0,100,150,600,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,60,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako003b,クロノス,7,12,12,通常,,4,0,0,0,0,1,0,1,-999,-999,15,200,1,1,8,0,100,0,100,800,-999,-999,-999,-999,30,50,-999,-999,-999,-999,-999,60,-999,500,-999,-999,45,-999,131135,255,1,526272,0,0,0
Zako003b,クロノス,7,12,12,通常,サマーソルトキック,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,120,0,100,0,100,-30,200,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
Zako003b,クロノス,7,12,12,通常,サマーソルトキック,4,0,0,0,0,1,0,1,-999,-999,15,200,2,2,8,0,500,0,100,0,100,50,200,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,4351,1,395200,0,0,0
