名,機体名,ND,SD,BD,AI種類,AI行為種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Chris2,グリムバフォメット,8,9,12,通常,移動系,,1,0,0,0,0,1,0,1,無制限,無制限,15,100,1,1,8,0,100,0,100,400,無制限,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,無制限,300,無制限,無制限,無制限,無制限,131135,0,0,67520,192,0,0
Chris2,グリムバフォメット,8,9,12,通常,移動系,,2,0,0,0,90,1,0,1,無制限,無制限,15,100,1,1,8,0,500,0,100,300,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,無制限,50,無制限,無制限,無制限,無制限,8255,49152,0,51136,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,移動系,,2,0,0,0,110,1,0,1,無制限,無制限,15,100,1,1,8,0,100,0,100,0,400,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,131135,0,0,67520,192,0,0
Chris2,グリムバフォメット,8,9,12,通常,移動系,,2,0,0,0,90,1,0,1,無制限,無制限,15,100,1,1,8,0,100,0,100,400,700,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,131135,0,0,67520,192,0,0
Chris2,グリムバフォメット,8,9,12,通常,移動系,,2,0,0,0,110,1,0,1,無制限,無制限,15,100,1,1,8,0,1000,0,100,400,無制限,-200,200,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,65583,0,0,133056,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,移動系,,3,0,0,0,180,1,0,1,無制限,無制限,15,0,1,1,8,0,500,0,100,0,200,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,300,無制限,無制限,無制限,無制限,無制限,63,0,0,1984,192,0,0
Chris2,グリムバフォメット,8,9,12,通常,移動系,,3,0,0,0,135,0,0,1,無制限,無制限,15,100,1,1,8,0,10000,0,100,無制限,300,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,150,600,無制限,無制限,無制限,無制限,無制限,32831,0,0,10176,192,0,0
Chris2,グリムバフォメット,8,9,12,通常,移動系,,2,0,0,0,90,1,0,1,無制限,無制限,15,100,1,1,8,0,0,2000,100,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,50,無制限,無制限,無制限,無制限,無制限,無制限,63,255,0,1984,0,0,6
Chris2,グリムバフォメット,8,9,12,通常,移動系,,3,0,0,0,90,1,0,1,無制限,無制限,15,100,1,1,8,0,0,2000,100,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,25,無制限,無制限,無制限,無制限,無制限,無制限,65599,255,0,1984,0,0,6
Chris2,グリムバフォメット,8,9,12,通常,移動系,,3,0,0,0,60,1,0,1,無制限,無制限,15,200,1,1,8,0,300,0,100,400,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,50,無制限,無制限,無制限,無制限,無制限,無制限,135231,255,0,1984,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,移動系,,3,0,0,0,90,1,0,1,無制限,無制限,15,25,1,1,8,0,300,0,100,200,600,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,50,無制限,無制限,無制限,無制限,無制限,無制限,135231,255,0,1984,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,倒れ臥すアーチスト,,,,,,,,,,,,,2,2,8,0,200,0,100,0,100,-30,30,無制限,無制限,無制限,無制限,無制限,75,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,蹲るソリスト,,,,,,,,,,,,,2,2,8,0,200,0,100,0,100,-30,30,無制限,無制限,無制限,無制限,無制限,75,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,堕天のプリンシパル,,,,,,,,,,,,,2,2,8,0,200,0,100,0,100,-30,30,無制限,無制限,無制限,無制限,無制限,75,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,殺戮のプルミエール,,,,,,,,,,,,,2,2,8,0,200,0,100,0,100,-30,30,無制限,無制限,無制限,無制限,無制限,75,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,波乱のカドリーユ,,,,,,,,,,,,,2,2,8,0,200,0,100,0,100,-30,30,無制限,無制限,無制限,無制限,無制限,75,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,赤い靴のコリフェ,,,,,,,,,,,,,2,2,8,0,200,0,100,0,100,-30,30,無制限,無制限,無制限,無制限,無制限,75,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,魔刃のスジェ,,,,,,,,,,,,,2,2,8,0,200,0,100,0,100,-30,30,無制限,無制限,無制限,無制限,無制限,75,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,シフト＆リフト,,,,,,,,,,,,,2,2,8,0,100,0,100,0,150,-30,200,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,シフト＆リフト,,,,,,,,,,,,,2,2,8,0,50,0,100,0,300,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,シフト＆リフト,,,,,,,,,,,,,2,2,8,0,500,0,100,0,150,-30,200,無制限,無制限,無制限,無制限,50,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,192,1,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,ニードルガン,,,,,,,,,,,,,2,2,8,0,100,0,100,400,1000,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,0,300,30,無制限,無制限,無制限,8239,255,4,133056,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,ニードルガン,,,,,,,,,,,,,2,2,8,0,100,0,100,100,400,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,無制限,無制限,無制限,無制限,無制限,無制限,8239,192,4,133056,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,毒針,,,,,,,,,,,,,2,2,8,5,50,0,100,300,1000,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8239,255,4,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,毒針,,,,,,,,,,,,,2,2,8,5,100,0,100,100,400,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8239,192,4,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,チャージニードルガン,,,,,,,,,,,,,2,2,8,0,100,0,100,300,無制限,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,20,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8239,255,4,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,チャージニードルガン,,,,,,,,,,,,,2,2,8,0,200,0,100,0,100,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,20,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,4,133056,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,エレクトロミサイル,,,,,,,,,,,,,2,2,8,4,200,0,100,300,600,-100,100,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8239,255,4,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,地雷,,,,,,,,,,,,,2,2,8,0,50,0,100,500,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8239,255,0,395200,0,0,0
Chris2,グリムバフォメット,8,9,12,通常,攻撃系,地雷,,,,,,,,,,,,,2,2,8,0,100,0,100,0,150,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8239,192,0,395200,0,0,0
