名,機体名,ND,SD,BD,AI種類,AI行為種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako117a,シャドーゲイル,7,12,14,通常,移動系,,1,0,0,0,0,1,0,1,無制限,無制限,15,100,1,1,8,0,10,0,1000,500,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,400,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,0
Zako117a,シャドーゲイル,7,12,14,通常,移動系,,2,0,0,0,180,1,0,1,無制限,無制限,15,100,1,1,8,0,100,0,100,0,200,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,300,無制限,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,0
Zako117a,シャドーゲイル,7,12,14,通常,移動系,,2,0,0,0,100,1,0,1,無制限,無制限,15,100,1,1,8,0,200,0,100,200,500,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,無制限,無制限,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,0
Zako117a,シャドーゲイル,7,12,14,通常,移動系,,2,0,0,0,80,1,0,1,無制限,無制限,15,100,1,1,8,0,400,0,100,300,800,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,200,無制限,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,0
Zako117a,シャドーゲイル,7,12,14,通常,移動系,,2,0,0,0,0,1,0,2,7,50,15,0,1,1,8,0,200,0,100,300,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,30,無制限,無制限,無制限,無制限,無制限,無制限,2111,0,0,1984,0,0,0
Zako117a,シャドーゲイル,7,12,14,通常,移動系,,4,0,0,0,0,1,0,1,無制限,無制限,15,200,1,1,8,0,3000,0,100,300,無制限,-30,100,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,無制限,無制限,無制限,無制限,45,無制限,270399,49152,1,1984,0,0,0
Zako117a,シャドーゲイル,7,12,14,通常,移動系,,3,0,0,0,180,1,0,1,無制限,無制限,15,100,1,1,8,0,0,1000,100,0,200,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,10,300,無制限,無制限,無制限,無制限,無制限,65599,255,0,1984,0,0,1
Zako117a,シャドーゲイル,7,12,14,通常,移動系,,3,0,0,0,150,1,0,1,無制限,無制限,15,100,1,1,8,0,0,1000,100,0,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,50,無制限,無制限,無制限,無制限,無制限,無制限,65599,255,0,1984,0,0,8
Zako117a,シャドーゲイル,7,12,14,通常,移動系,,3,0,0,0,90,1,0,1,無制限,無制限,15,100,1,1,8,0,0,1000,100,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,10,無制限,無制限,無制限,無制限,無制限,無制限,65599,255,0,1984,0,0,6
Zako117a,シャドーゲイル,7,12,14,通常,移動系,,3,0,0,0,180,1,0,1,無制限,無制限,15,100,1,1,8,0,200,0,100,無制限,300,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,50,500,無制限,無制限,無制限,無制限,無制限,49215,0,0,10176,0,0,0
