名,機体名,ND,SD,BD,AI種類,AI行為種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako031a,シーアネモネ,4,10,10,通常,移動系,,1,0,0,1,0,1,0,1,無制限,無制限,47,100,1,1,8,0,100,0,100,400,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,300,無制限,300,無制限,無制限,無制限,無制限,63,0,0,1984,49152,0,0
Zako031a,シーアネモネ,4,10,10,通常,移動系,,1,0,0,0,60,1,0,1,無制限,無制限,15,100,1,1,8,0,100,0,100,400,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,300,無制限,300,無制限,無制限,無制限,無制限,63,0,0,1984,49152,0,0
Zako031a,シーアネモネ,4,10,10,通常,移動系,,2,0,0,0,90,1,0,1,無制限,無制限,15,100,1,1,8,0,100,0,100,400,無制限,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,無制限,300,無制限,無制限,無制限,無制限,63,0,0,1984,49152,0,0
Zako031a,シーアネモネ,4,10,10,通常,移動系,,2,0,0,0,150,0,0,1,無制限,無制限,15,100,1,1,8,0,500,2000,100,0,300,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,500,無制限,無制限,無制限,無制限,無制限,63,8192,0,1984,49152,0,14
Zako031a,シーアネモネ,4,10,10,通常,移動系,,3,0,0,0,0,1,0,1,無制限,無制限,15,200,1,1,8,0,2000,0,100,200,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,300,無制限,100,無制限,無制限,無制限,無制限,8255,49152,0,51136,0,0,0
Zako031a,シーアネモネ,4,10,10,通常,移動系,,3,0,0,0,0,1,0,1,無制限,無制限,15,200,1,1,8,0,2000,0,100,200,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,300,無制限,100,無制限,無制限,無制限,無制限,8255,192,0,51136,63,0,0
Zako031a,シーアネモネ,4,10,10,通常,移動系,,4,0,0,0,0,1,0,1,無制限,無制限,15,200,1,1,8,0,2000,0,100,200,無制限,-30,30,無制限,30,無制限,無制限,無制限,無制限,無制限,無制限,300,無制限,無制限,無制限,無制限,45,無制限,8255,768,1,51136,1024,0,0
Zako031a,シーアネモネ,4,10,10,通常,攻撃系,噛み付き,,,,,,,,,,,,,2,2,8,0,500,0,100,0,150,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Zako031a,シーアネモネ,4,10,10,通常,攻撃系,ハンマーヘッド,,,,,,,,,,,,,2,2,8,0,200,0,100,0,150,無制限,150,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,49407,1,133056,0,0,0
Zako031a,シーアネモネ,4,10,10,通常,攻撃系,ハンマーヘッド,,,,,,,,,,,,,2,2,8,0,1000,0,100,150,300,-30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,4351,1,133056,0,0,0
Zako031a,シーアネモネ,4,10,10,通常,攻撃系,ハンマーヘッド,,,,,,,,,,,,,2,2,8,0,1000,0,100,0,150,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,768,1,133056,1024,0,0
Zako031a,シーアネモネ,4,10,10,通常,攻撃系,ハンマーヘッド,,,,,,,,,,,,,2,2,8,0,10,0,100,400,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,10,無制限,無制限,100,無制限,300,無制限,無制限,無制限,無制限,8255,255,0,133056,0,0,0
Zako031a,シーアネモネ,4,10,10,通常,攻撃系,スイングヘッド,,,,,,,,,,,,,2,2,8,0,200,0,100,0,200,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,49407,1,133056,0,0,0
Zako031a,シーアネモネ,4,10,10,通常,攻撃系,ジャンキースイング,,,,,,,,,,,,,2,2,8,0,100,0,100,0,150,-30,30,無制限,無制限,無制限,25,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,49407,1,133056,0,0,0
Zako031a,シーアネモネ,4,10,10,通常,攻撃系,ジャンキースイング,,,,,,,,,,,,,2,2,8,0,10,0,100,700,無制限,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,400,無制限,無制限,無制限,無制限,8255,255,0,133056,0,0,0
Zako031a,シーアネモネ,4,10,10,通常,攻撃系,溶解液,,,,,,,,,,,,,2,2,8,0,300,0,100,300,1000,-30,100,無制限,無制限,無制限,無制限,無制限,無制限,40,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,1023,4,133056,0,0,0
Zako031a,シーアネモネ,4,10,10,通常,攻撃系,潜伏,,,,,,,,,,,,,2,2,8,5,300,0,25,0,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,49215,8447,0,133056,0,0,0
Zako031a,シーアネモネ,4,10,10,通常,攻撃系,スウェー,,,,,,,,,,,,,2,2,8,5,0,10000,100,0,300,-100,100,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,57407,255,0,133056,0,0,3
Zako031a,シーアネモネ,4,10,10,通常,移動系,,2,0,0,0,0,0,0,1,無制限,無制限,15,100,1,1,8,0,1000,0,100,0,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,300,無制限,無制限,無制限,無制限,無制限,無制限,63,0,2,1984,0,1,0
