名,機体名,ND,SD,BD,AI種類,AI行為種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako114a,センテンス,4,10,8,通常,移動系,,1,0,0,0,0,1,0,1,無制限,無制限,15,100,1,1,8,0,100,0,100,600,無制限,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,500,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,0
Zako114a,センテンス,4,10,8,通常,移動系,,2,0,0,0,0,1,0,1,無制限,無制限,15,100,1,1,8,0,100,0,100,600,無制限,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,500,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,0
Zako114a,センテンス,4,10,8,通常,移動系,,2,0,0,0,0,1,0,1,無制限,無制限,15,100,1,1,8,0,100,0,100,0,無制限,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,500,無制限,無制限,無制限,無制限,無制限,無制限,63,0,2,1984,0,1,0
Zako114a,センテンス,4,10,8,通常,移動系,,3,0,0,0,60,1,0,1,無制限,無制限,14,100,1,1,8,0,300,1000,100,250,600,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,50,無制限,無制限,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,14
Zako114a,センテンス,4,10,8,通常,移動系,,3,0,0,0,180,1,0,1,無制限,無制限,14,100,1,1,8,0,300,0,100,0,250,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,50,300,無制限,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,0
Zako114a,センテンス,4,10,8,通常,移動系,,4,0,0,0,0,1,0,1,無制限,無制限,15,500,1,1,8,0,100,0,100,250,600,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,無制限,100,無制限,無制限,45,無制限,139327,0,1,116672,0,0,0
Zako114a,センテンス,4,10,8,通常,移動系,,2,0,0,0,180,0,0,1,無制限,無制限,15,100,1,1,8,0,500,0,100,0,600,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,600,無制限,無制限,無制限,無制限,無制限,49215,8192,0,10176,49152,0,0
Zako114a,センテンス,4,10,8,通常,攻撃系,デスシックル,,,,,,,,,,,,,2,2,8,0,100,0,100,0,200,-30,50,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8247,255,1,133056,0,0,0
Zako114a,センテンス,4,10,8,通常,攻撃系,サイクロンシックル,,,,,,,,,,,,,2,2,8,5,100,0,100,0,100,-30,50,無制限,無制限,無制限,無制限,無制限,無制限,20,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,133056,0,0,0
Zako114a,センテンス,4,10,8,通常,攻撃系,サイクロンシックル,,,,,,,,,,,,,2,2,8,5,0,1000,100,0,600,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,20,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8247,255,1,133056,0,0,12
Zako114a,センテンス,4,10,8,通常,攻撃系,パイルバンカー,,,,,,,,,,,,,2,2,8,5,100,0,100,150,300,-30,30,無制限,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8208,255,1,133056,0,0,0
Zako114a,センテンス,4,10,8,通常,攻撃系,スライドボム,,,,,,,,,,,,,2,2,8,0,50,0,100,300,800,無制限,30,無制限,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,4,395200,0,0,0
Zako114a,センテンス,4,10,8,通常,攻撃系,ミサイルポッド,,,,,,,,,,,,,2,2,8,0,50,0,100,300,1000,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,40,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8231,255,4,133056,0,0,0
Zako114a,センテンス,4,10,8,通常,移動系,,2,0,0,0,0,0,0,1,無制限,無制限,15,100,1,1,8,0,1000,0,100,0,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,300,無制限,無制限,無制限,無制限,無制限,無制限,63,0,2,1984,0,1,0
