機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako012b,タルタルキャノン,4,7,6,通常,,2,0,0,0,60,0,0,0,-999,-999,47,100,1,1,8,0,50,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako012b,タルタルキャノン,4,7,6,通常,,3,0,0,0,60,0,0,0,-999,-999,47,100,1,1,8,0,50,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako012b,タルタルキャノン,4,7,6,通常,,2,0,0,1,0,0,0,0,-999,-999,47,100,1,1,8,0,100,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako012b,タルタルキャノン,4,7,6,通常,,2,0,0,1,0,0,0,4,-999,-999,47,100,1,1,8,0,150,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako012b,タルタルキャノン,4,7,6,通常,,2,0,0,1,0,0,0,3,128,-999,47,100,1,1,8,0,100,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako012b,タルタルキャノン,4,7,6,通常,,2,0,0,0,150,0,0,4,100,-999,47,100,1,1,8,0,1000,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,49215,0,0,10176,0,0,0
Zako012b,タルタルキャノン,4,7,6,通常,ブレード,2,0,0,0,150,0,0,4,100,-999,47,100,2,2,8,0,15,0,100,0,-999,-30,30,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Zako012b,タルタルキャノン,4,7,6,通常,タップアタック,2,0,0,0,150,0,0,4,100,-999,47,100,2,2,8,0,30,0,100,0,75,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Zako012b,タルタルキャノン,4,7,6,通常,スピンアタック,2,0,0,0,150,0,0,4,100,-999,47,100,2,2,8,5,200,0,100,0,200,-60,30,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Zako012b,タルタルキャノン,4,7,6,通常,3wayコンタクトボム,2,0,0,0,150,0,0,4,100,-999,47,100,2,2,8,0,200,0,100,600,1200,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako012b,タルタルキャノン,4,7,6,通常,3wayコンタクトボム,2,0,0,0,150,0,0,4,100,-999,47,100,2,2,8,0,0,800,100,-999,600,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,6
Zako012b,タルタルキャノン,4,7,6,通常,マルチコンタクト,2,0,0,0,150,0,0,4,100,-999,47,100,2,2,8,0,350,0,100,200,1200,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako012b,タルタルキャノン,4,7,6,通常,ダッシュブレード,2,0,0,0,150,0,0,4,100,-999,47,100,2,2,8,0,400,0,100,700,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Zako012b,タルタルキャノン,4,7,6,通常,ダッシュブレード,2,0,0,0,0,0,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,63,0,2,1984,0,1,0
