機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako014a,ディアマンテ,5,10,8,未定,,2,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,10000,0,100,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,200,-999,-999,-999,-999,8255,0,0,51136,0,0,0
Zako014a,ディアマンテ,5,10,8,未定,,2,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,500,0,100,100,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako014a,ディアマンテ,5,10,8,未定,,3,0,0,0,135,0,0,1,-999,-999,15,100,1,1,8,0,2000,0,100,-999,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,150,800,-999,-999,-999,-999,-999,49215,0,0,10176,0,0,0
Zako014a,ディアマンテ,5,10,8,未定,,4,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,200,-999,-30,30,-999,-999,0,100,-999,-999,-999,-999,50,-999,50,-999,-999,45,-999,8255,255,1,51136,0,0,0
Zako014a,ディアマンテ,5,10,8,未定,,2,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,1000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,63,255,0,1984,0,0,6
Zako014a,ディアマンテ,5,10,8,未定,,3,0,0,0,180,1,0,1,-999,-999,15,100,1,1,8,0,0,1000,100,0,200,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,300,300,-999,-999,-999,-999,-999,63,255,0,1984,0,0,1
Zako014a,ディアマンテ,5,10,8,未定,,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,1000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,6
Zako014a,ディアマンテ,5,10,8,未定,パンチ,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,1000,0,100,0,80,-30,100,-999,-999,0,100,-999,-999,-999,-999,15,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
Zako014a,ディアマンテ,5,10,8,未定,キック,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,1000,0,100,0,200,-30,100,-999,-999,-999,-999,-999,-999,-999,-999,-1,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Zako014a,ディアマンテ,5,10,8,未定,ボディプレス,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,50,0,100,150,300,-30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,-999,-999,-999,-999,-999,-999,10303,255,1,133056,0,0,0
Zako014a,ディアマンテ,5,10,8,未定,ボディプレス,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,200,0,100,0,100,-999,-10,-999,-999,-999,-999,-999,-999,-999,-999,-1,-999,-999,-999,-999,-999,-999,12351,1023,1,133056,0,0,0
Zako014a,ディアマンテ,5,10,8,未定,ホーミングミサイル,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,100,0,100,400,1500,-30,30,-999,-999,0,50,-999,-999,-999,-999,-1,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako014a,ディアマンテ,5,10,8,未定,ロケットランチャー,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,500,0,100,400,1500,-30,30,-999,-999,0,100,-999,-999,-999,-999,-1,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako014a,ディアマンテ,5,10,8,未定,ダブルランチャー,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,5,100,0,100,400,1500,-30,30,-999,-999,0,100,-999,-999,-999,-999,-1,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako014a,ディアマンテ,5,10,8,未定,全弾発射,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,7,50,0,100,400,-999,-30,30,-999,-999,0,25,-999,-999,-999,-999,-1,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako014a,ディアマンテ,5,10,8,未定,全弾発射,2,0,0,0,0,0,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,63,0,2,1984,0,1,0
