名,機体名,ND,SD,BD,AI種類,AI行為種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako122a,トレス,3,6,8,通常,移動系,,1,0,0,0,0,1,0,1,無制限,無制限,15,100,1,1,8,0,100,0,100,400,無制限,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,無制限,300,無制限,無制限,無制限,無制限,63,8192,0,1984,49152,0,0
Zako122a,トレス,3,6,8,通常,移動系,,1,0,0,0,90,0,0,1,無制限,無制限,47,100,1,1,8,0,200,0,100,300,無制限,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,無制限,無制限,無制限,無制限,無制限,無制限,63,8192,0,1984,49152,0,0
Zako122a,トレス,3,6,8,通常,移動系,,2,0,0,0,90,0,0,1,無制限,無制限,47,100,1,1,8,0,100,0,100,400,無制限,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,無制限,無制限,無制限,無制限,無制限,無制限,63,8192,0,1984,49152,0,0
Zako122a,トレス,3,6,8,通常,移動系,,3,0,0,0,0,1,0,1,無制限,無制限,15,500,1,1,8,0,2000,0,100,0,無制限,-30,30,25,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,無制限,150,無制限,無制限,30,無制限,8255,49152,1,1984,0,0,0
Zako122a,トレス,3,6,8,通常,移動系,,4,0,0,0,0,1,0,1,無制限,無制限,15,500,1,1,8,0,5000,0,100,0,1000,-30,30,無制限,25,無制限,無制限,無制限,無制限,無制限,無制限,200,無制限,150,無制限,無制限,30,無制限,8255,49152,1,1984,0,0,0
Zako122a,トレス,3,6,8,通常,移動系,,3,0,0,0,180,1,0,1,無制限,無制限,15,100,1,1,8,0,200,1000,100,0,200,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,50,300,無制限,無制限,無制限,無制限,無制限,63,8447,0,1984,49152,0,1
Zako122a,トレス,3,6,8,通常,移動系,,3,0,0,0,90,1,0,1,無制限,無制限,15,100,1,1,8,0,0,1000,100,0,無制限,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,50,無制限,無制限,無制限,無制限,無制限,無制限,63,8447,0,1984,49152,0,14
Zako122a,トレス,3,6,8,通常,攻撃系,パンチ,,,,,,,,,,,,,2,2,8,0,100,0,100,0,100,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Zako122a,トレス,3,6,8,通常,攻撃系,ハンマー,,,,,,,,,,,,,2,2,8,0,25,0,100,0,150,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,1023,1,133056,0,0,0
Zako122a,トレス,3,6,8,通常,攻撃系,ハンマー,,,,,,,,,,,,,2,2,8,0,200,0,100,0,150,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,50175,1,133056,0,0,0
Zako122a,トレス,3,6,8,通常,攻撃系,スイングハンマー,,,,,,,,,,,,,2,2,8,5,25,0,100,0,200,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,133056,0,0,0
Zako122a,トレス,3,6,8,通常,攻撃系,スイングハンマー,,,,,,,,,,,,,2,2,8,5,200,0,100,0,200,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,49407,1,133056,0,0,0
Zako122a,トレス,3,6,8,通常,攻撃系,マシンガン,,,,,,,,,,,,,2,2,8,0,10,0,100,400,800,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,無制限,無制限,無制限,無制限,無制限,無制限,8255,8447,1,133056,0,0,0
Zako122a,トレス,3,6,8,通常,攻撃系,シールドガード,,,,,,,,,,,,,2,2,8,0,25,2000,100,300,800,-100,100,無制限,30,無制限,無制限,無制限,30,無制限,無制限,200,無制限,200,無制限,無制限,無制限,無制限,10303,255,0,1984,33728,0,14
Zako122a,トレス,3,6,8,通常,移動系,,2,0,0,0,0,0,0,1,無制限,無制限,15,100,1,1,8,0,1000,0,100,0,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,300,無制限,無制限,無制限,無制限,無制限,無制限,63,0,2,1984,0,1,0
