機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako106a,ナーシサス,4,10,6,未定,,0,0,0,0,0,0,0,0,0,0,15,100,1,1,8,0,500,0,100,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako106a,ナーシサス,4,10,6,未定,,1,0,0,0,0,0,0,1,-999,-999,15,100,1,1,8,0,100,0,100,1500,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,1000,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako106a,ナーシサス,4,10,6,未定,,1,0,0,0,180,0,0,1,-999,-999,15,100,1,1,8,0,500,0,100,500,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,650,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako106a,ナーシサス,4,10,6,未定,,2,0,0,0,180,1,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,-999,500,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,700,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako106a,ナーシサス,4,10,6,未定,,2,0,0,0,30,1,0,1,-999,-999,15,100,1,1,8,0,100,0,100,500,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,400,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako106a,ナーシサス,4,10,6,未定,,3,0,0,0,150,1,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,-999,150,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,650,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako106a,ナーシサス,4,10,6,未定,,3,0,0,0,120,1,0,1,-999,-999,15,100,1,1,8,0,500,0,100,-999,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,600,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako106a,ナーシサス,4,10,6,未定,,3,0,0,0,75,1,0,1,-999,-999,15,100,1,1,8,0,500,0,100,800,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,600,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako106a,ナーシサス,4,10,6,未定,ヒートフロート,3,0,0,0,75,1,0,1,-999,-999,15,100,2,2,8,0,500,0,100,600,1500,-999,-999,-999,-999,-999,-999,-999,60,-999,60,1,-999,-999,-999,-999,-999,-999,10303,2047,0,133056,0,0,0
Zako106a,ナーシサス,4,10,6,未定,アームパンチ,3,0,0,0,75,1,0,1,-999,-999,15,100,2,2,8,0,3000,0,100,0,120,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-1,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
Zako106a,ナーシサス,4,10,6,未定,対空ガトリングコンボ,3,0,0,0,75,1,0,1,-999,-999,15,100,2,2,8,6,500,0,100,-999,150,-10,10,-999,-999,-999,75,-999,-999,-999,-999,-1,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Zako106a,ナーシサス,4,10,6,未定,ジャマーシード,3,0,0,0,75,1,0,1,-999,-999,15,100,2,2,8,5,500,0,100,150,600,-30,30,-999,-999,-999,50,-999,-999,-999,-999,-1,-999,-999,-999,-999,-999,-999,10303,1023,4,133056,0,0,0
Zako106a,ナーシサス,4,10,6,未定,ガトリング,3,0,0,0,75,1,0,1,-999,-999,15,100,2,2,8,0,200,0,100,300,1200,-999,30,-999,-999,-999,-999,-999,-999,20,-999,-1,-999,-999,-999,-999,-999,-999,8255,1023,4,34752,0,0,0
Zako106a,ナーシサス,4,10,6,未定,ガトリング乱射,3,0,0,0,75,1,0,1,-999,-999,15,100,2,2,8,5,100,0,100,300,1200,-999,30,-999,-999,-999,-999,-999,-999,20,-999,-1,-999,-999,-999,-999,-999,-999,8255,1023,4,34752,0,0,0
Zako106a,ナーシサス,4,10,6,未定,ガトリング乱射,2,0,0,0,0,0,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,63,0,2,1984,0,1,0
