機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Neunzehn,ノインツェーン,6,10,10,デコイ中,沈黙の空,1,0,0,0,0,0,0,3,50,-999,47,100,1,1,8,0,500,0,100,150,500,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1000,-999,-999,-999,-999,-999,-999,2111,0,0,51136,0,0,0
Neunzehn,ノインツェーン,6,10,10,デコイ中,沈黙の空,2,0,0,0,180,1,0,3,50,-999,15,100,1,1,8,0,100,0,100,0,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,500,-999,-999,-999,-999,-999,32831,0,1,10176,0,0,0
Neunzehn,ノインツェーン,6,10,10,デコイ中,沈黙の空,2,0,0,0,180,1,0,4,50,-999,15,100,1,1,8,4,100,6,100,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,-999,-999,-999,-999,-999,63,0,3,1984,0,0,0
Neunzehn,ノインツェーン,6,10,10,デコイ中,沈黙の空,2,0,0,0,150,1,0,1,-999,-999,15,100,1,1,8,4,100,0,100,500,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,800,-999,-999,-999,-999,-999,49215,0,3,10176,0,0,0
Neunzehn,ノインツェーン,6,10,10,デコイ中,沈黙の空,2,0,0,0,100,1,0,1,-999,-999,15,100,1,1,8,4,100,0,100,-999,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,700,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Neunzehn,ノインツェーン,6,10,10,デコイ中,沈黙の空,3,0,0,0,180,1,0,1,-999,-999,15,100,1,1,8,6,0,1000,100,0,200,-60,60,-999,45,-999,-999,-999,-999,-999,-999,150,300,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,1
Neunzehn,ノインツェーン,6,10,10,デコイ中,沈黙の空,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,6,0,1000,100,200,-999,-60,60,-999,-999,-999,-999,-999,-999,-999,-999,150,-999,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,6
Neunzehn,ノインツェーン,6,10,10,デコイ中,沈黙の空,3,0,0,0,150,1,0,1,-999,-999,15,100,1,1,8,6,0,1000,100,0,-999,-60,60,-999,45,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,8
Neunzehn,ノインツェーン,6,10,10,デコイ中,沈黙の空,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,6,0,1000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,6
Neunzehn,ノインツェーン,6,10,10,デコイ中,何もしない（補正解除）,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,50,0,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,0,0,133056,0,0,0
Neunzehn,ノインツェーン,6,10,10,デコイ中,沈黙の空,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,4,20,0,100,800,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24639,255,1,133056,0,0,0
