名,機体名,ND,SD,BD,AI種類,AI行為種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako018a,フィーア・グスタフ,2,5,4,通常,移動系,,0,0,0,0,0,1,0,1,無制限,無制限,15,100,1,1,8,0,500,0,100,400,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,50,無制限,無制限,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,0
Zako018a,フィーア・グスタフ,2,5,4,通常,移動系,,1,0,0,1,0,0,0,1,無制限,無制限,15,20,1,1,8,0,300,0,100,800,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,200,無制限,400,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,0
Zako018a,フィーア・グスタフ,2,5,4,通常,移動系,,2,0,0,1,0,0,0,1,無制限,無制限,12,20,1,1,8,0,300,0,100,500,無制限,無制限,無制限,無制限,30,無制限,無制限,無制限,無制限,無制限,無制限,150,無制限,400,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,0
Zako018a,フィーア・グスタフ,2,5,4,通常,移動系,,2,0,0,0,130,0,0,1,無制限,無制限,14,50,1,1,8,0,200,200,100,0,800,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,900,無制限,無制限,無制限,無制限,無制限,63,0,0,1984,0,0,14
Zako018a,フィーア・グスタフ,2,5,4,通常,移動系,,3,0,0,0,125,0,0,1,無制限,無制限,14,25,1,1,8,0,100,200,100,0,800,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,900,無制限,無制限,無制限,無制限,無制限,65599,0,0,1984,0,0,14
Zako018a,フィーア・グスタフ,2,5,4,通常,移動系,,3,0,0,1,0,0,0,1,無制限,無制限,14,50,1,1,8,0,200,0,100,400,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,100,無制限,300,無制限,無制限,無制限,無制限,55,0,0,1984,0,0,0
Zako018a,フィーア・グスタフ,2,5,4,通常,移動系,,4,0,0,0,0,1,0,1,無制限,無制限,15,100,1,1,8,0,300,0,100,1000,無制限,無制限,無制限,無制限,30,無制限,無制限,無制限,無制限,無制限,無制限,200,無制限,700,無制限,無制限,45,無制限,8255,0,1,1984,0,0,0
Zako018a,フィーア・グスタフ,2,5,4,通常,移動系,,2,0,0,0,0,0,0,1,無制限,無制限,15,100,1,1,8,0,1000,0,100,0,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,300,無制限,無制限,無制限,無制限,無制限,無制限,63,0,2,1984,0,1,0
Zako018a,フィーア・グスタフ,2,5,4,通常,攻撃系,パンチ,,,,,,,,,,,,,2,2,8,0,200,0,100,0,100,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,1,395200,0,0,0
Zako018a,フィーア・グスタフ,2,5,4,通常,攻撃系,突進,,,,,,,,,,,,,2,2,8,0,100,0,100,0,300,-30,100,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,1023,1,133056,0,0,0
Zako018a,フィーア・グスタフ,2,5,4,通常,攻撃系,ガトリング,,,,,,,,,,,,,2,2,8,0,100,0,100,100,400,-30,30,無制限,無制限,無制限,無制限,無制限,無制限,40,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,4,133056,0,0,0
Zako018a,フィーア・グスタフ,2,5,4,通常,攻撃系,大型ミサイル,,,,,,,,,,,,,2,2,8,0,100,0,100,200,1300,-30,100,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,255,4,133056,0,0,0
Zako018a,フィーア・グスタフ,2,5,4,通常,攻撃系,主砲,,,,,,,,,,,,,2,2,8,0,100,0,100,500,1500,-150,150,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,1023,4,133056,0,0,0
Zako018a,フィーア・グスタフ,2,5,4,通常,攻撃系,対空主砲,,,,,,,,,,,,,2,2,8,0,500,0,100,200,1000,150,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,無制限,8255,4351,4,133056,0,0,0
