機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,1,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,500,0,100,300,700,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,63,768,0,1984,63,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,2,0,0,0,30,1,0,0,0,0,15,100,1,1,8,0,500,0,100,300,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,2,0,0,0,90,1,0,0,0,0,15,100,1,1,8,0,500,0,100,0,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,2,0,0,0,90,1,0,2,4,100,15,100,1,1,8,0,500,0,100,0,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,2,0,0,0,180,1,0,2,4,100,15,100,1,1,8,0,500,0,100,0,200,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,4,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,250,-999,-30,30,-999,-999,0,100,-999,-999,-999,-999,50,-999,50,-999,-999,45,-999,8255,255,1,51136,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,2,0,0,0,160,0,0,1,-999,-999,15,100,1,1,8,0,3000,0,100,-999,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,600,-999,-999,-999,-999,-999,32831,0,0,10176,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,3,0,0,0,135,0,0,1,-999,-999,15,100,1,1,8,0,2000,0,100,-999,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,600,-999,-999,-999,-999,-999,32831,0,0,10176,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,3,0,0,0,180,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,0,200,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,50,300,-999,-999,-999,-999,-999,63,255,0,1984,0,0,1
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,2,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,63,255,0,1984,0,0,6
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,10000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,6
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,2,0,0,0,80,1,0,1,-999,-999,15,100,1,1,8,0,200,0,100,-999,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,800,-999,-999,-999,-999,49215,0,0,10176,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,チェシャテイルスピン,3,0,0,0,180,1,0,1,-999,-999,15,100,1,1,8,0,200,2000,100,-999,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,49215,0,0,10176,0,0,15
Sidsel,フレスベルグ,8,18,15,軽量版,ローキック,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,1000,0,100,0,100,-30,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,1023,1,395200,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,ローキック,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,5000,0,100,0,100,-30,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,768,1,395200,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,ミドルキック,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,800,0,100,0,150,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,ハイキック,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,300,0,100,0,200,-30,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,サマーソルトキック,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,300,0,100,0,75,0,250,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10303,255,1,395200,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,サマーソルトキック,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,500,0,100,0,100,100,250,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,4351,1,395200,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,ブーストキック,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,100,0,100,200,350,-999,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10303,255,1,395200,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,ブーストキック,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,100,0,100,0,300,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,4351,1,395200,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,ダッシュブレード,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,100,0,100,0,500,-10,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,395200,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,スピンブレード,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,100,10000,100,0,300,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,7
Sidsel,フレスベルグ,8,18,15,軽量版,ダガースロウ,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,100,0,100,300,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,395200,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,ジャンピングスロウ,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,100,0,100,200,600,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,395200,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,ブーメランブレード,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,200,0,100,200,800,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,395200,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,ハイパーソニック,3,0,0,0,180,1,0,1,-999,-999,15,100,2,2,8,0,50,0,100,0,600,0,20,-999,-999,-999,-999,-999,-999,-999,-999,150,-999,-999,-999,-999,-999,-999,24639,255,1,133056,0,0,0
Sidsel,フレスベルグ,8,18,15,軽量版,ハイパーソニック,2,0,0,0,0,0,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,63,0,2,1984,0,1,0
