機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako017b,ラピッド・ヴァイス,6,9,9,通常,,0,0,0,0,0,1,0,1,-999,-999,15,100,1,1,8,0,100,0,100,0,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako017b,ラピッド・ヴァイス,6,9,9,通常,,2,0,0,0,0,0,0,1,-999,-999,15,100,1,1,8,0,500,0,100,500,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,400,-999,-999,-999,-999,2111,0,0,1984,0,0,0
Zako017b,ラピッド・ヴァイス,6,9,9,通常,,2,0,0,0,80,0,0,1,-999,-999,15,100,1,1,8,0,300,0,100,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,300,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako017b,ラピッド・ヴァイス,6,9,9,通常,,2,0,0,0,150,0,0,1,-999,-999,15,100,1,1,8,0,300,0,100,0,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,400,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako017b,ラピッド・ヴァイス,6,9,9,通常,,2,0,0,0,90,1,0,2,8,100,14,100,1,1,8,0,10000,1000,100,0,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,2079,0,1,2016,0,0,6
Zako017b,ラピッド・ヴァイス,6,9,9,通常,,2,0,0,0,180,1,0,2,6,100,14,100,1,1,8,0,100,0,100,0,300,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,2079,0,1,2016,0,0,0
Zako017b,ラピッド・ヴァイス,6,9,9,通常,,2,0,0,0,180,1,0,2,8,100,14,100,1,1,8,0,0,1000,100,0,200,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,2079,0,1,2016,0,0,1
Zako017b,ラピッド・ヴァイス,6,9,9,通常,,2,0,0,0,90,1,0,0,0,0,14,100,1,1,8,0,1000,0,100,100,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,300,-999,-999,-999,-999,4127,0,1,2016,0,0,0
Zako017b,ラピッド・ヴァイス,6,9,9,通常,速射砲,2,0,0,0,90,1,0,0,0,0,14,100,2,2,8,0,50,0,100,300,800,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako017b,ラピッド・ヴァイス,6,9,9,通常,対空射撃,2,0,0,0,90,1,0,0,0,0,14,100,2,2,8,5,500,0,100,200,600,0,300,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,4351,4,133056,0,0,0
Zako017b,ラピッド・ヴァイス,6,9,9,通常,対地射撃,2,0,0,0,90,1,0,0,0,0,14,100,2,2,8,0,50,0,100,100,200,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10303,255,4,133056,0,0,0
Zako017b,ラピッド・ヴァイス,6,9,9,通常,対地射撃,2,0,0,0,90,1,0,0,0,0,14,100,2,2,8,6,500,0,100,100,300,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12351,255,4,133056,0,0,0
Zako017b,ラピッド・ヴァイス,6,9,9,通常,対地射撃,2,0,0,0,0,0,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,63,0,2,1984,0,1,0
