機体,機体名,ND,SD,BD,AI種類,発動技名,移動タイプ,移動速度(/10),移動慣性,移動目標タイプ,移動目標角度補正,視点タイプ,視点角度補正,ジャンプタイプ,上昇処理用変数1,上昇処理用変数2,汎用フラグ,攻撃確率補正,type,short1,int1,int2,発動確率,発動確率（反撃時）,int5,発動範囲Min,発動範囲Max,角度範囲Min,角度範囲Max,発動高度Min,発動高度Max,発動耐久力Min(%),発動耐久力Max(%),int14,int15,発動熱量Min,発動熱量Max,int18,int19,int20,int21,int22,int23,int24,int25,int26,short2,int27,int28,short3,short4
Zako128b,鋼,3,6,6,通常,,1,0,0,0,0,1,0,1,-999,-999,15,75,1,1,8,0,200,0,100,800,-999,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,700,-999,-999,-999,-999,8255,0,0,51136,0,0,0
Zako128b,鋼,3,6,6,通常,,2,0,0,0,150,1,0,1,-999,-999,15,25,1,1,8,0,100,0,100,0,400,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako128b,鋼,3,6,6,通常,,2,0,0,0,110,1,0,1,-999,-999,15,25,1,1,8,0,100,0,100,400,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,-999,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako128b,鋼,3,6,6,通常,,2,0,0,1,0,1,0,1,-999,-999,47,25,1,1,8,0,100,0,100,600,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,-999,600,-999,-999,-999,-999,63,0,0,1984,0,0,0
Zako128b,鋼,3,6,6,通常,,2,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,1000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,-999,-999,-999,-999,-999,63,255,0,1984,0,0,6
Zako128b,鋼,3,6,6,通常,,3,0,0,0,180,1,0,1,-999,-999,15,100,1,1,8,0,100,1000,100,0,300,-60,60,-999,45,-999,-999,-999,-999,-999,-999,100,400,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,1
Zako128b,鋼,3,6,6,通常,,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,1000,100,0,200,-60,60,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,6
Zako128b,鋼,3,6,6,通常,,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,1000,100,200,-999,-60,60,-999,-999,-999,-999,-999,-999,-999,-999,100,-999,-999,-999,-999,-999,-999,131135,255,0,1984,0,0,6
Zako128b,鋼,3,6,6,通常,,3,0,0,0,150,1,0,1,-999,-999,15,100,1,1,8,0,0,1000,100,0,-999,-60,60,-999,45,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,8
Zako128b,鋼,3,6,6,通常,,3,0,0,0,90,1,0,1,-999,-999,15,100,1,1,8,0,0,1000,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,-999,-999,-999,65599,255,0,1984,0,0,6
Zako128b,鋼,3,6,6,通常,イレクションラム,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,400,0,100,0,100,-30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,1,133056,0,0,0
Zako128b,鋼,3,6,6,通常,ラムアタッカー,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,300,0,100,0,250,-100,50,-999,30,-999,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,511,1,133056,0,0,0
Zako128b,鋼,3,6,6,通常,ラムアタッカー,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,100,0,100,0,600,-100,50,-999,30,-999,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,511,1,133056,0,0,0
Zako128b,鋼,3,6,6,通常,ダブルガトリング,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,200,0,100,300,800,-50,50,-999,30,-999,-999,-999,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako128b,鋼,3,6,6,通常,パラレルミサイル,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,100,0,100,400,1200,-100,100,-999,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako128b,鋼,3,6,6,通常,リサーチミサイル,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,100,0,100,500,-999,-999,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako128b,鋼,3,6,6,通常,爆撃ミサイル,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,0,50,0,100,250,500,-30,300,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako128b,鋼,3,6,6,通常,爆撃ミサイル,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,6,500,0,100,150,400,-30,300,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,4351,4,133056,0,0,0
Zako128b,鋼,3,6,6,通常,フルバースト,3,0,0,0,90,1,0,1,-999,-999,15,100,2,2,8,7,50,0,100,400,1000,-999,150,-999,-999,-999,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8255,255,4,133056,0,0,0
Zako128b,鋼,3,6,6,通常,フルバースト,2,0,0,0,0,0,0,1,-999,-999,15,100,1,1,8,0,1000,0,100,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,300,-999,-999,-999,-999,-999,-999,63,0,2,1984,0,1,0
